56,"Beinn Eighe-Ruadh-stac Mor",353276,"Ruadh-Stac Mor",57.5939,-5.4284,1010.0,65.4
57,"Beinn Eighe-Spidean Coire nan Clach",353619,"Spidean Coire Nan Clach",57.5807,-5.4041,993.0,157.2
58,"Beinn Eunaich",350323,"Beinn Eunaich",56.4502,-5.028,988.0,85.3
59,"Beinn Fhada",350324,"Beinn Fhada",57.221,-5.2825,1032.0,61.3
60,"Beinn Fhionnlaidh",350326,"Beinn Fhionnlaidh (Highland)",57.3061,-5.1289,1005.0,61.7
61,"Beinn Fhionnlaidh",350325,"Beinn Fhionnlaidh (Argyll & Bute)",56.5998,-5.1116,959.0,440.3
62,"Beinn Ghlas",350327,"Beinn Ghlas",56.5378,-4.2353,1103.0,224.5
63,"Beinn Ime",350329,"Beinn Ime",56.234,-4.8131,1011.0,401.6
64,"Beinn Iutharn Mhor",350330,"Beinn Iutharn Mhor",56.8941,-3.5628,1045.0,344.4
65,"Beinn Liath Mhor",350331,"Beinn Liath Mhor",57.5163,-5.4006,925.0,469.9
66,"Beinn Liath Mhor Fannaich",350332,"Beinn Liath Mhor Fannaich",57.7059,-4.9857,954.0,243.2
67,"Beinn Mhanach",350333,"Beinn Mhanach",56.5323,-4.6447,953.0,210.7
68,"Beinn Mheadhoin",350334,"Beinn Mheadhoin",57.0981,-3.6093,1182.0,282.4
69,"Beinn na Lap",350335,"Beinn Na Lap",56.7896,-4.6543,937.0,347.6
70,"Beinn nan Aighenan",350336,"Beinn Nan Aighenan",56.519,-5.0127,957.0,162.9
71,"Beinn Narnain",350337,"Beinn Narnain",56.2207,-4.7853,926.0,230.5
72,"Beinn Sgritheall",350338,"Beinn Sgritheall",57.1544,-5.5761,981.0,228
73,"Beinn Sgulaird",350339,"Beinn Sgulaird",56.5673,-5.1703,932.0,118.8
74,"Beinn Sheasgarnaich (Beinn Heasgarnich)",350328,"Beinn Heasgarnich",56.5122,-4.5778,1076.0,231.4
75,"Beinn Tarsuinn",350340,"Beinn Tarsuinn",57.7034,-5.2988,936.0,453.2
76,"Beinn Teallach",350341,"Beinn Teallach",56.9363,-4.6958,915.0,75.6
